index,ds,y,yhat_lower,yhat_upper,yhat,product,student_type,funnel_step
2,2019-01-01,301.0,,,,BSc Banking & Finance,UK,applications
0,2019-01-01,,301.0,301.0,301.0,BSc Banking & Finance,UK,applications
1,2020-01-01,,322.3688885823449,604.3171821427982,465.7713077352262,BSc Banking & Finance,UK,applications
2,2021-01-01,,415.54953045749215,686.0431353395268,551.809159150843,BSc Banking & Finance,UK,applications
3,2022-01-01,,560.9192591213297,841.8549428648877,703.0039323030063,BSc Banking & Finance,UK,applications
0,2017-01-01,0.0,,,,BSc Banking & Finance,International,applications
1,2018-01-01,0.0,,,,BSc Banking & Finance,International,applications
2,2019-01-01,87.0,,,,BSc Banking & Finance,International,applications
0,2019-01-01,,87.0,87.0,87.0,BSc Banking & Finance,International,applications
1,2020-01-01,,95.40795508408362,175.3921697487869,134.62492947828795,BSc Banking & Finance,International,applications
2,2021-01-01,,118.69772257145523,196.929745044467,159.49301277781842,BSc Banking & Finance,International,applications
3,2022-01-01,,165.83514271472546,240.77382790732378,203.19382760917458,BSc Banking & Finance,International,applications
0,2017-01-01,0.0,,,,BSc Banking & Finance,UK,enrolments
1,2018-01-01,0.0,,,,BSc Banking & Finance,UK,enrolments
2,2019-01-01,256.0,,,,BSc Banking & Finance,UK,enrolments
0,2019-01-01,,256.0,256.0,256.0,BSc Banking & Finance,UK,enrolments
1,2020-01-01,,281.2152844103041,499.71613453842,396.1377235223186,BSc Banking & Finance,UK,enrolments
2,2021-01-01,,354.00750011433576,583.0472826177481,469.31277323128177,BSc Banking & Finance,UK,enrolments
3,2022-01-01,,482.9546824059959,713.8760867464706,597.9036766430884,BSc Banking & Finance,UK,enrolments
0,2017-01-01,0.0,,,,BSc Banking & Finance,International,enrolments
1,2018-01-01,0.0,,,,BSc Banking & Finance,International,enrolments
2,2019-01-01,28.0,,,,BSc Banking & Finance,International,enrolments
0,2019-01-01,,28.0,28.0,28.0,BSc Banking & Finance,International,enrolments
1,2020-01-01,,30.21772762588074,55.56888961950636,43.3275635102536,BSc Banking & Finance,International,enrolments
2,2021-01-01,,39.64388278692719,64.16759487982772,51.33108457217144,BSc Banking & Finance,International,enrolments
3,2022-01-01,,52.51932402719163,77.5241222214584,65.3957146328378,BSc Banking & Finance,International,enrolments
0,2017-01-01,40456.0,,,,MSc Economics,UK,web_traffic
1,2018-01-01,32561.0,,,,MSc Economics,UK,web_traffic
2,2019-01-01,32677.0,,,,MSc Economics,UK,web_traffic
0,2019-01-01,,32677.0,32677.0,32677.0,MSc Economics,UK,web_traffic
1,2020-01-01,,24916.839882008062,32126.92217883893,28347.13816419267,MSc Economics,UK,web_traffic
2,2021-01-01,,21089.054869272895,27995.79425702428,24436.074279389257,MSc Economics,UK,web_traffic
3,2022-01-01,,17835.68894767568,24779.025363646935,21279.501635255776,MSc Economics,UK,web_traffic
0,2017-01-01,6544.0,,,,MSc Economics,International,web_traffic
1,2018-01-01,6346.0,,,,MSc Economics,International,web_traffic
2,2019-01-01,6365.0,,,,MSc Economics,International,web_traffic
0,2019-01-01,,6365.0,6365.0,6365.0,MSc Economics,International,web_traffic
1,2020-01-01,,7408.730792248791,7727.020869962873,7562.101877564729,MSc Economics,International,web_traffic
2,2021-01-01,,6307.412461793489,7095.731367226433,6721.361874053315,MSc Economics,International,web_traffic
3,2022-01-01,,6347.696757570367,7729.420766349743,7058.61672043998,MSc Economics,International,web_traffic
0,2017-01-01,1002.0,,,,MSc Economics,UK,enquiries
1,2018-01-01,811.0,,,,MSc Economics,UK,enquiries
2,2019-01-01,851.0,,,,MSc Economics,UK,enquiries
0,2019-01-01,,851.0,851.0,851.0,MSc Economics,UK,enquiries
1,2020-01-01,,657.5508016167659,859.4458216534407,756.481717503607,MSc Economics,UK,enquiries
2,2021-01-01,,571.6925801361059,782.7846462841744,679.5523145661341,MSc Economics,UK,enquiries
3,2022-01-01,,522.0132057293324,716.1245404810982,619.181546137133,MSc Economics,UK,enquiries
0,2017-01-01,420.0,,,,MSc Economics,International,enquiries
1,2018-01-01,426.0,,,,MSc Economics,International,enquiries
2,2019-01-01,479.0,,,,MSc Economics,International,enquiries
0,2019-01-01,,479.0,479.0,479.0,MSc Economics,International,enquiries
1,2020-01-01,,594.39742742223,626.9265849089295,610.4174745489895,MSc Economics,International,enquiries
2,2021-01-01,,547.1501045122073,579.2343169102897,562.5824292540107,MSc Economics,International,enquiries
3,2022-01-01,,601.7503216662086,636.8698219801951,619.3526422439974,MSc Economics,International,enquiries
0,2017-01-01,487.0,,,,MSc Economics,UK,applications
1,2018-01-01,451.0,,,,MSc Economics,UK,applications
2,2019-01-01,458.0,,,,MSc Economics,UK,applications
0,2019-01-01,,458.0,458.0,458.0,MSc Economics,UK,applications
1,2020-01-01,,503.6823103192224,536.6770394905853,519.8933806424046,MSc Economics,UK,applications
2,2021-01-01,,436.44676158495173,468.31167415727924,452.34691163434104,MSc Economics,UK,applications
3,2022-01-01,,446.9158734605462,479.6858963995155,463.1363669958977,MSc Economics,UK,applications
0,2017-01-01,36.0,,,,MSc Economics,International,applications
1,2018-01-01,39.0,,,,MSc Economics,International,applications
2,2019-01-01,41.0,,,,MSc Economics,International,applications
0,2019-01-01,,41.0,41.0,41.0,MSc Economics,International,applications
1,2020-01-01,,35.93868718218811,37.037974950285495,36.489587421804224,MSc Economics,International,applications
2,2021-01-01,,41.60816045747957,44.76254251174239,43.15091789691303,MSc Economics,International,applications
3,2022-01-01,,40.486962641492084,46.265924369088516,43.31321930510144,MSc Economics,International,applications
0,2017-01-01,243.0,,,,MSc Economics,UK,enrolments
1,2018-01-01,202.0,,,,MSc Economics,UK,enrolments
2,2019-01-01,201.0,,,,MSc Economics,UK,enrolments
0,2019-01-01,,201.0,201.0,201.0,MSc Economics,UK,enrolments
1,2020-01-01,,165.4912713346604,202.54682695293266,183.2345491981778,MSc Economics,UK,enrolments
2,2021-01-01,,140.70469372337345,176.20208114052997,158.76756735237532,MSc Economics,UK,enrolments
3,2022-01-01,,125.4892276053618,160.80144959217282,143.16992940734482,MSc Economics,UK,enrolments
0,2017-01-01,22.0,,,,MSc Economics,International,enrolments
1,2018-01-01,33.0,,,,MSc Economics,International,enrolments
2,2019-01-01,47.0,,,,MSc Economics,International,enrolments
0,2019-01-01,,47.0,47.0,47.0,MSc Economics,International,enrolments
1,2020-01-01,,71.7244604782312,77.67853377794192,74.7332440964141,MSc Economics,International,enrolments
2,2021-01-01,,68.29075275676394,85.1476477138799,77.31859383153721,MSc Economics,International,enrolments
3,2022-01-01,,78.5961912000172,107.87206649328799,93.61782593473463,MSc Economics,International,enrolments
0,2017-01-01,126099.0,,,,MBA,UK,web_traffic
1,2018-01-01,107382.0,,,,MBA,UK,web_traffic
2,2019-01-01,121874.0,,,,MBA,UK,web_traffic
0,2019-01-01,,121874.0,121874.0,121874.0,MBA,UK,web_traffic
1,2020-01-01,,102289.82092001353,133657.06637638246,118614.7938618767,MBA,UK,web_traffic
2,2021-01-01,,100139.69150386473,129928.95926677911,114051.45571523899,MBA,UK,web_traffic
3,2022-01-01,,99175.34405398736,129063.40781114205,113554.01487043881,MBA,UK,web_traffic
0,2017-01-01,50287.0,,,,MBA,International,web_traffic
1,2018-01-01,44624.0,,,,MBA,International,web_traffic
2,2019-01-01,47823.0,,,,MBA,International,web_traffic
0,2019-01-01,,47823.0,47823.0,47823.0,MBA,International,web_traffic
1,2020-01-01,,43961.01053091526,51985.11405370112,48079.385743626146,MBA,International,web_traffic
2,2021-01-01,,41126.05165400603,49353.40196296213,45095.08372042992,MBA,International,web_traffic
3,2022-01-01,,41071.30017527484,48708.39917099642,44885.5107306333,MBA,International,web_traffic
0,2017-01-01,5345.0,,,,MBA,UK,enquiries
1,2018-01-01,4762.0,,,,MBA,UK,enquiries
2,2019-01-01,5345.0,,,,MBA,UK,enquiries
0,2019-01-01,,5345.0,5345.0,5345.0,MBA,UK,enquiries
1,2020-01-01,,4916.675459440852,5962.994528245019,5436.484040542214,MBA,UK,enquiries
2,2021-01-01,,4704.155495583277,5760.403295811468,5253.103607303059,MBA,UK,enquiries
3,2022-01-01,,4823.2673752244145,5849.784164964178,5338.960677078329,MBA,UK,enquiries
0,2017-01-01,735.0,,,,MBA,International,enquiries
1,2018-01-01,626.0,,,,MBA,International,enquiries
2,2019-01-01,656.0,,,,MBA,International,enquiries
0,2019-01-01,,656.0,656.0,656.0,MBA,International,enquiries
1,2020-01-01,,561.9403558685552,687.3083477002838,624.7009741783434,MBA,International,enquiries
2,2021-01-01,,508.42188794241554,632.5116015430166,570.514697452702,MBA,International,enquiries
3,2022-01-01,,486.0681704306287,603.9320584439583,545.0281706666606,MBA,International,enquiries
0,2017-01-01,945.0,,,,MBA,UK,applications
1,2018-01-01,777.0,,,,MBA,UK,applications
2,2019-01-01,1051.0,,,,MBA,UK,applications
0,2019-01-01,,1051.0,1051.0,1051.0,MBA,UK,applications
1,2020-01-01,,884.2558815961463,1274.014404637627,1072.8065463691623,MBA,UK,applications
2,2021-01-01,,869.7090032712058,1294.5288032856456,1091.1925546371292,MBA,UK,applications
3,2022-01-01,,955.830864173804,1342.428884178737,1151.3711364512756,MBA,UK,applications
0,2017-01-01,264.0,,,,MBA,International,applications
1,2018-01-01,225.0,,,,MBA,International,applications
2,2019-01-01,261.0,,,,MBA,International,applications
0,2019-01-01,,261.0,261.0,261.0,MBA,International,applications
1,2020-01-01,,227.30869332353052,290.32939776369074,256.28057530000297,MBA,International,applications
2,2021-01-01,,216.0682063186952,283.64633793086807,249.17592259299903,MBA,International,applications
3,2022-01-01,,215.09709180407802,285.9877567237021,250.76648912595903,MBA,International,applications
0,2017-01-01,537.0,,,,MBA,UK,enrolments
1,2018-01-01,432.0,,,,MBA,UK,enrolments
2,2019-01-01,499.0,,,,MBA,UK,enrolments
0,2019-01-01,,499.0,499.0,499.0,MBA,UK,enrolments
1,2020-01-01,,379.10711240854596,541.5863291317331,460.71129512163265,MBA,UK,enrolments
2,2021-01-01,,361.89809003336813,513.8138032717121,438.84425718601904,MBA,UK,enrolments
3,2022-01-01,,346.61672993453266,502.8713168475538,425.2939724172422,MBA,UK,enrolments
0,2017-01-01,109.0,,,,MBA,International,enrolments
1,2018-01-01,80.0,,,,MBA,International,enrolments
2,2019-01-01,138.0,,,,MBA,International,enrolments
0,2019-01-01,,138.0,138.0,138.0,MBA,International,enrolments
1,2020-01-01,,106.77295505482815,184.8020952616894,145.61023777392052,MBA,International,enrolments
2,2021-01-01,,111.00777733361656,195.87235488235606,153.20588338365854,MBA,International,enrolments
3,2022-01-01,,132.75116347587922,211.47387885041425,168.3265985797039,MBA,International,enrolments
