,ds,y,type,yhat,student_type,product,funnel_step
129,2019-09-01,,Forecast,351.0,UK,BSc Maths & Stats,applications
130,2020-09-01,,Forecast,278.0,UK,BSc Maths & Stats,applications
131,2021-09-01,,Forecast,206.0,UK,BSc Maths & Stats,applications
132,2022-09-01,,Forecast,134.0,UK,BSc Maths & Stats,applications
133,2017-09-01,250.0,Historical,,UK,BSc Maths & Stats,enrolments
134,2018-09-01,222.0,Historical,,UK,BSc Maths & Stats,enrolments
135,2019-09-01,162.0,Historical,,UK,BSc Maths & Stats,enrolments
136,2019-09-01,,Forecast,162.0,UK,BSc Maths & Stats,enrolments
137,2020-09-01,,Forecast,108.0,UK,BSc Maths & Stats,enrolments
138,2021-09-01,,Forecast,79.0,UK,BSc Maths & Stats,enrolments
139,2022-09-01,,Forecast,64.0,UK,BSc Maths & Stats,enrolments
140,2017-09-01,21641.0,Historical,,International,BSc Maths & Stats,web_traffic
141,2018-09-01,17777.0,Historical,,International,BSc Maths & Stats,web_traffic
142,2019-09-01,12862.0,Historical,,International,BSc Maths & Stats,web_traffic
143,2019-09-01,,Forecast,12862.0,International,BSc Maths & Stats,web_traffic
144,2020-09-01,,Forecast,13501.0,International,BSc Maths & Stats,web_traffic
145,2021-09-01,,Forecast,12907.0,International,BSc Maths & Stats,web_traffic
146,2022-09-01,,Forecast,13458.0,International,BSc Maths & Stats,web_traffic
147,2017-09-01,951.0,Historical,,International,BSc Maths & Stats,enquiries
148,2018-09-01,641.0,Historical,,International,BSc Maths & Stats,enquiries
149,2019-09-01,465.0,Historical,,International,BSc Maths & Stats,enquiries
150,2019-09-01,,Forecast,465.0,International,BSc Maths & Stats,enquiries
151,2020-09-01,,Forecast,407.0,International,BSc Maths & Stats,enquiries
152,2021-09-01,,Forecast,374.0,International,BSc Maths & Stats,enquiries
153,2022-09-01,,Forecast,355.0,International,BSc Maths & Stats,enquiries
154,2017-09-01,83.0,Historical,,International,BSc Maths & Stats,applications
155,2018-09-01,81.0,Historical,,International,BSc Maths & Stats,applications
156,2019-09-01,50.0,Historical,,International,BSc Maths & Stats,applications
157,2019-09-01,,Forecast,50.0,International,BSc Maths & Stats,applications
158,2020-09-01,,Forecast,45.0,International,BSc Maths & Stats,applications
159,2021-09-01,,Forecast,48.0,International,BSc Maths & Stats,applications
160,2022-09-01,,Forecast,46.0,International,BSc Maths & Stats,applications
161,2017-09-01,43.0,Historical,,International,BSc Maths & Stats,enrolments
162,2018-09-01,21.0,Historical,,International,BSc Maths & Stats,enrolments
163,2019-09-01,22.0,Historical,,International,BSc Maths & Stats,enrolments
164,2019-09-01,,Forecast,22.0,International,BSc Maths & Stats,enrolments
165,2020-09-01,,Forecast,23.0,International,BSc Maths & Stats,enrolments
166,2021-09-01,,Forecast,25.0,International,BSc Maths & Stats,enrolments
167,2022-09-01,,Forecast,26.0,International,BSc Maths & Stats,enrolments
168,2017-09-01,0.0,Historical,,UK,BSc Banking & Finance,web_traffic
169,2018-09-01,0.0,Historical,,UK,BSc Banking & Finance,web_traffic
170,2019-09-01,96435.0,Historical,,UK,BSc Banking & Finance,web_traffic
171,2019-09-01,,Forecast,96435.0,UK,BSc Banking & Finance,web_traffic
172,2020-09-01,,Forecast,96443.0,UK,BSc Banking & Finance,web_traffic
173,2021-09-01,,Forecast,96452.0,UK,BSc Banking & Finance,web_traffic
174,2022-09-01,,Forecast,96461.0,UK,BSc Banking & Finance,web_traffic
175,2017-09-01,0.0,Historical,,UK,BSc Banking & Finance,enquiries
176,2018-09-01,0.0,Historical,,UK,BSc Banking & Finance,enquiries
177,2019-09-01,5001.0,Historical,,UK,BSc Banking & Finance,enquiries
178,2019-09-01,,Forecast,5001.0,UK,BSc Banking & Finance,enquiries
179,2020-09-01,,Forecast,5000.0,UK,BSc Banking & Finance,enquiries
180,2021-09-01,,Forecast,5000.0,UK,BSc Banking & Finance,enquiries
181,2022-09-01,,Forecast,5000.0,UK,BSc Banking & Finance,enquiries
182,2017-09-01,0.0,Historical,,UK,BSc Banking & Finance,applications
183,2018-09-01,0.0,Historical,,UK,BSc Banking & Finance,applications
184,2019-09-01,301.0,Historical,,UK,BSc Banking & Finance,applications
185,2019-09-01,,Forecast,301.0,UK,BSc Banking & Finance,applications
186,2020-09-01,,Forecast,301.0,UK,BSc Banking & Finance,applications
187,2021-09-01,,Forecast,301.0,UK,BSc Banking & Finance,applications
188,2022-09-01,,Forecast,301.0,UK,BSc Banking & Finance,applications
189,2017-09-01,0.0,Historical,,UK,BSc Banking & Finance,enrolments
190,2018-09-01,0.0,Historical,,UK,BSc Banking & Finance,enrolments
191,2019-09-01,256.0,Historical,,UK,BSc Banking & Finance,enrolments
192,2019-09-01,,Forecast,256.0,UK,BSc Banking & Finance,enrolments
193,2020-09-01,,Forecast,255.0,UK,BSc Banking & Finance,enrolments
194,2021-09-01,,Forecast,255.0,UK,BSc Banking & Finance,enrolments
195,2022-09-01,,Forecast,255.0,UK,BSc Banking & Finance,enrolments
196,2017-09-01,0.0,Historical,,International,BSc Banking & Finance,web_traffic
197,2018-09-01,0.0,Historical,,International,BSc Banking & Finance,web_traffic
198,2019-09-01,10511.0,Historical,,International,BSc Banking & Finance,web_traffic
199,2019-09-01,,Forecast,10511.0,International,BSc Banking & Finance,web_traffic
200,2020-09-01,,Forecast,10511.0,International,BSc Banking & Finance,web_traffic
201,2021-09-01,,Forecast,10511.0,International,BSc Banking & Finance,web_traffic
202,2022-09-01,,Forecast,10511.0,International,BSc Banking & Finance,web_traffic
203,2017-09-01,0.0,Historical,,International,BSc Banking & Finance,enquiries
204,2018-09-01,0.0,Historical,,International,BSc Banking & Finance,enquiries
205,2019-09-01,831.0,Historical,,International,BSc Banking & Finance,enquiries
206,2019-09-01,,Forecast,831.0,International,BSc Banking & Finance,enquiries
207,2020-09-01,,Forecast,830.0,International,BSc Banking & Finance,enquiries
208,2021-09-01,,Forecast,830.0,International,BSc Banking & Finance,enquiries
209,2022-09-01,,Forecast,830.0,International,BSc Banking & Finance,enquiries
210,2017-09-01,0.0,Historical,,International,BSc Banking & Finance,applications
211,2018-09-01,0.0,Historical,,International,BSc Banking & Finance,applications
212,2019-09-01,87.0,Historical,,International,BSc Banking & Finance,applications
213,2019-09-01,,Forecast,87.0,International,BSc Banking & Finance,applications
214,2020-09-01,,Forecast,86.0,International,BSc Banking & Finance,applications
215,2021-09-01,,Forecast,86.0,International,BSc Banking & Finance,applications
216,2022-09-01,,Forecast,86.0,International,BSc Banking & Finance,applications
217,2017-09-01,0.0,Historical,,International,BSc Banking & Finance,enrolments
